'date','min_prcp','max_prcp','avg_prcp','sum_prcp','min_snow','max_snow','avg_snow','sum_snow'
'2014-01-23',0.0,0.46000000000000005329,0.074285714285714288251,0.52000000000000001776,0.0,11.000000000000000888,1.785714285714285765,12.5
'2014-01-24',0.0,0.46000000000000005329,0.074285714285714288251,0.52000000000000001776,0.0,11.000000000000000888,1.785714285714285765,12.5
'2014-01-25',0.0,0.04,0.0085714285714285729511,0.06,0.0,1.0,0.21428571428571427937,1.5
'2014-01-26',0.0,0.04,0.011428571428571427937,0.08,0.0,1.0,0.25714285714285716188,1.8
'2014-01-27',0.0,0.04,0.011428571428571427937,0.08,0.0,1.0,0.25714285714285716188,1.8
'2014-01-28',0.0,0.04,0.011428571428571427937,0.08,0.0,1.0,0.25714285714285716188,1.8
'2014-01-29',0.0,0.04,0.0057142857142857135244,0.04,0.0,0.8,0.11428571428571430157,0.8
'2014-01-30',0.0,0.04,0.0057142857142857135244,0.04,0.0,0.8,0.11428571428571430157,0.8
'2014-01-31',0.0,1.1699999999999999289,0.17285714285714284699,1.2099999999999999644,0.0,8.0,1.2571428571428573395,8.8000000000000007105
'2014-02-01',0.0,1.1699999999999999289,0.17285714285714284699,1.2099999999999999644,0.0,8.0,1.2571428571428573395,8.8000000000000007105
'2014-02-02',0.0,1.4299999999999998934,0.37142857142857139685,2.5999999999999996447,0.0,8.0,1.7142857142857142349,11.999999999999999644
'2014-02-03',0.0,1.4299999999999998934,0.37142857142857139685,2.5999999999999996447,0.0,8.0,1.7142857142857142349,11.999999999999999644
'2014-02-04',0.0,1.4299999999999998934,0.37142857142857139685,2.5999999999999996447,0.0,8.0,1.7142857142857142349,11.999999999999999644
'2014-02-05',0.0,1.4299999999999998934,0.37142857142857139685,2.5999999999999996447,0.0,8.0,1.7142857142857142349,11.999999999999999644
'2014-02-06',0.0,1.4299999999999998934,0.38571428571428567622,2.6999999999999997335,0.0,8.0,1.885714285714285765,13.199999999999998401
'2014-02-07',0.0,1.4299999999999998934,0.21857142857142859426,1.530000000000000071,0.0,4.0,0.74285714285714288251,5.2000000000000001776
